asset,component_var,marginal_var
GLD,-0.001751879975005511,-0.007007519900022044
QQQ,-0.0047446576069752515,-0.018978630427901006
SPY,-0.003684267899405969,-0.014737071597623877
TLT,-0.001162657224346294,-0.004650628897385176
