method,var_pct,var_dollars
Historical,-0.010570980881298445,-10570.980881298445
Normal,-0.01093051348054873,-10930.51348054873
Cornish-Fisher,-0.010576397557071326,-10576.397557071326
Monte Carlo,-0.011060309426458435,-11060.309426458436
CVaR,-0.016202064761880138,-16202.064761880138
