scenario,hypothetical_loss,var_95,var_multiple,exceeds_var
1-sigma decline,-0.006483386424302459,-0.010570980881298445,0.6133192839060455,No
2-sigma decline,-0.013379722073789214,-0.010570980881298445,1.2657029866982192,Yes
3-sigma decline,-0.02027605772327597,-0.010570980881298445,1.918086689490393,Yes
Black Monday (1987),-0.2054,-0.010570980881298445,19.430552595491072,Yes
Flash Crash (2010),-0.0498,-0.010570980881298445,4.711010317699393,Yes
2x VaR breach,-0.02114196176259689,-0.010570980881298445,2.0,Yes
3x VaR breach,-0.031712942643895334,-0.010570980881298445,3.0,Yes
5x VaR breach,-0.05285490440649222,-0.010570980881298445,5.0,Yes
